year,gdp_current_ksh_million,gdp_growth_percent,gfcf_ksh_million,inflation_rate_percent,unemployment_rate_percent
2015,6884327.0,5.0,1520817.0,6.582154292847786,2.762
2016,7594064.0,4.2,1472621.0,6.297249538146249,2.757
2017,8483396.0,3.8,1687833.0,8.005649677099447,3.542
2018,9340307.0,5.6,1783811.0,4.689806467763299,4.284
2019,10237727.0,5.1,1941234.0,5.239637957647923,5.014
2020,10715070.0,-0.3,2070321.0,5.40516207933392,5.613
2021,12027662.0,7.6,2367797.0,6.107936036591763,5.693
2022,13489642.0,4.8599790442596325,2509782.0,7.659862682722239,5.565
2023,15033610.0,5.719992943902841,2625440.0,7.671396340294023,5.409
2024,16224478.0,4.724739528335742,2845545.0,4.489788542434479,5.487
